NUMBER	GENUS	ESPECIE	DETBY	DETDD	DETMM	DETYY	INFRAESPECIE	LONGITUDE_DG	LATITUDE_DG	COLDD	COLMM	COLYY	ALTITUDEmax	ALTITUDEmin	ALTITUDE_ALL	CF	DUPLICATE_old	FAMILY	FONTE_INFO	HABITAT_NOVO	HABITATNOTES	HABITO	DAP_NOVO	ALTURA_NOVO	SOLOTEXTURA	SOLOINUNDACAO	HERBARIUM_NOVO	INPA.TOMBAMENTO	NOTAS_ORIGINAL	ORIGINALESPECIMEN	Fertilidade	REPOSITORIO	ROWHERBARIUM	SOBRENOME	Type	VERNACULARNOME	COLLECTOR	COUNTRY_NOVO	MAJORAREA_NOVO	MINORAREA	GAZETTEER
7699	Ocotea	glomerata	Lyra-Lemos, R.P.	1	1	2004		-35.502222	-9.214444	5	7	2003						Lauraceae		Capoeira		árvore		7			ALCB;MAC		Árvore com ca. de 7m de altura. Flores cremes.HABITAT:Mata Atlântica secundária.;		flor	sl		Lyra-Lemos			Lyra-Lemos, R.P.	Brasil	ALAGOAS	Passo de Camaragibe	Fazenda Santo Antônio
607	Ocotea	longifolia	Ramos, J.F.	18	3	2008		-61.940356	-6.389583	29	3	2007						Lauraceae		Capoeira		árvore					EAFM		Árvore; 11 m .; Terra firme, floresta secundária sobre solo antropogenico (Terra Preta de Índio). ; HA		flor	sl		Junqueira			Junqueira, A.B.	Brasil	AMAZONAS	Humaitá	Rio Arara
261	Ocotea	longifolia	Ramos, J.F.	20	3	2008		-62.101467	-6.406172	28	6	2007						Lauraceae		Capoeira		árvore					EAFM		Árvore; 8 m; pecíolo com cera branca.; Terra firme, floresta secundária sobre solo antropogenico (Terra Preta de Índio). ; HA		flor	sl		Junqueira			Junqueira, A.B.	Brasil	AMAZONAS	Humaitá	Barreira Do Capanã
292	Ocotea	longifolia	Ramos, J.F.	20	3	2008		-62.07855	-6.406019	4	7	2007						Lauraceae		Capoeira		árvore					EAFM		Árvore; 8 m.; Terra firme, floresta secundária sobre solo antropogenico (Terra Preta de Índio). ; HA		flor	sl		Junqueira			Junqueira, A.B.	Brasil	AMAZONAS	Humaitá	Barreira Do Capanã
461	Ocotea	longifolia	Assunçao, P.A.C.L.	13	4	2008		-61.073689	-6.087578	15	10	2007						Lauraceae		Capoeira		árvore					EAFM		Árvore; 10 m; tronco com lenticelas redondas e odor forte.; Terra firme, floresta secundária sobre solo antropogenico (Terra Preta de Índio). ; HA		flor	sl		Junqueira			Junqueira, A.B.	Brasil	AMAZONAS	Manicoré	Comunidade Terra Preta Do Atininga
4057	Ocotea	longifolia	Kinupp, V.F.	12	1	2010		-60.025	-3.10194	12	1	2010						Lauraceae		Capoeira		árvore		4			BHCB;EAFM		Árvore; 4,0 m; botoes florais; flores creme; folhas face adaxial verde-escuro e face abaxial verde-esbranquiçado.; Borda da capoeira. ; HA árvore; 4,0 m; botoes florais; flores creme; folhas face adaxial verde-escuro e face abaxial verde-esbranquiçado.; borda da capoeira.; habitat: borda da capoeira.; desc: árvore; 4,0 m; botoes florais; flores creme; folhas face adaxial v		botões;flor	sl		Kinupp			Kinupp, V.F.	Brasil	AMAZONAS	Manaus	Campus Ifam
2278	Ocotea	nitida	van der Werff	15	7	2012		-37.437222	-11.3675	4	7	2010						Lauraceae		Capoeira	Área antropizada.. Mata Atlântica.	árvore		7.5	arenoso;argiloso		ASE;JPB;MO;NY		Árvore ca. de 7,5m de altura, visitada por formigas. Flores e botôes florais creme. Frutos imaturos verdes.; Mata Atlântica. ; HA árvore ca. de 7,5m de altura, visitada por formigas. flores e botôes florais creme. frutos imaturos verdes.; mata atlântica.; habitat: mata atlântica.; desc: árvore ca. de 7,5m de altura, visitada por formigas. flores e botôes florais árvore ca. de 7,5m de altura, visitada por formingas. flores e botôes florais creme. frutos imaturos verdes.		flor;fruto	mo;ny;sl	1806824	Prata			Prata, A.P.	Brasil	SERGIPE	Santa Luzia do Itanhy	Rppn Mata Do Crasto
170	Ocotea	longifolia		17				-35.7933	-8.72667	17	8	2010					urn:catalog:JBRJ:RB:682099	Lauraceae		Capoeira	Borda da mata.	árvore	22	3			INPA;JPB;RB;UFRN	247382	Árvore com ca. 3 m de altura; tronco com DAP de 22 cm; frutos maduros com uma coloraçao de olivia e cúpula de margem simples e pedúnculo vermelho. Frutos imaturos. árvore com ca. 3 m de altura; tronco com dap de 22 cm; frutos maduros com uma coloração de olivia e cúpula de margem simples e pedúnculo vermelho. frutos imaturos. árvore com cerca de 3 m de alt. tronco co dap de 22 cm. frutos maduros com uma coloraçao de verde olivia e cúpula de margem simples e pedúnculo vermelho; frutos imaturos de... árvore com cerda de 3 m de altura; tronco com dap de 22 cm; frutos maduros com uma coloração de verde olivia e cúpula de margem simples e pedúnculo vermelho; frutos imaturos. árvore com cerda de 3 m de altura; tronco com dap de 22 cm; frutos maduros com uma coloraçao de verde olivia e cúpula de margem simples e pedúnculo vermelho; frutos imaturos.; borda da mata.	324933	fruto	gbif;inpa;sl	682099	Santos			Santos, S.O.	Brasil	PERNAMBUCO	Jaqueira	Rppn Frei Caneca
823	Ocotea	longifolia	Moraes, P.L.R. de					-39.478889	-12.849722									Lauraceae	Linha-6148	Capoeira		árvore		12.5			CEPEC		Ambiente: Capoeira. Habito: Árvore, 10m X 15cm.			sl		Santos			Santos, T.S. dos	Brasil	BAHIA	Santa Teresinha	Estrada Vitória Da Conquista-ilhéus
D2564	Ocotea	longifolia	van der Werff					-44.93	-4	25	9	1980						Lauraceae		Floresta de carnaúba	Forest with Orbignya palm.	arbusto		3			MO;NY		Shrub 3 m. Immature fruit (includng cupule) green.		fruto	ny;mo;sl;gbif	918539	Daly			Daly, D.	Brasil	MARANHÃO	Lago Verde	Fazenda São Francisco
2156	Ocotea	longifolia	van der Werff			1988		-55.5025	-11.8642	20	6	1977						Lauraceae		Floresta de Cipó	Floresta mista com cipóal.	árvore	9.5	6			MO;NY;F		Árvore de 6 m. por 30 cm. de circunferencia, frutos verdes, imaturos.		fruto	gbif;mo;sl;ny;f	918493	Rosa			Rosa, N.A.	Brasil	MATO GROSSO	Sinop	Rio Juruena
3790	Ocotea	longifolia	van der Werff			1992		-40.8392	-14.8661	19	2	1992						Lauraceae		Floresta de Cipó	Mata de Cipó	árvore		7			NY		Arvore com ca. 7 m de altura. Folhas discolores com face superior mais escura, lucida. Inflorescência creme		flor	ny	539639	Carvalho			Carvalho, A.M.V. de	Brasil	BAHIA	Vitória da Conquista	Serra Da Conquista
1721	Ocotea	glomerata	Smith, A. C. 	2				-45.7278872	-1.456347	2	5	1932						Lauraceae		Floresta de galeria	Near river.	árvore					NY		Tree 16 ft. high, 4 inches in diameter.			gbif;ny;sl	537938	Fróes			Fróes, R. de L.	Brasil	MARANHÃO	Cândido Mendes	Rio Maracassumé
1889	Ocotea	canaliculata		10				-45.8917809	-1.8926301	10	9	1932						Lauraceae		Floresta de galeria	Mata da cachoeria.	árvore	8	70			NY		Tree 70 ft. high, 8 inches in diameter.			gbif;ny;sl	918300	Fróes			Fróes, R. de L.	Brasil	MARANHÃO	Maracaçumé	Nova Esperança
10585	Ocotea	longifolia	Vicentini, A.			1996		-55.8661	-1.76556	29	6	1980						Lauraceae		Floresta de galeria	Tall forest adjacent to riverside fazendas	árvore		6			NY		Tree ca. 6m tall. Buds cream-white; fruits green. Terra firme ( Assoc.: Dipteryx, Bertholletia, Couratari, a few bamboos ).		botões;fruto	ny	1202888	Davidson			Davidson, C.	Brasil	PARÁ	Oriximiná	Cachoeira Porteira
806	Ocotea	canaliculata	Rohwer, J.G.	2				-45.37	-5.88	2	3	1983						Lauraceae		Floresta de galeria	At rivers edge.	árvore					MO;NY		Tree formerly 15 m. tall or more. Now broken off at top and resprouting. Petals cream.		flor	gbif;mo;ny;sl	1419872|918306	Schatz			Schatz, G.E.	Brasil	MARANHÃO	Barra do Corda	Maracassumé
INPA38880	Ocotea	longifolia	Vicentini, A.	1	1	1996		-59.1306	-3.57972	14	6	1973						Lauraceae		Floresta de igapó		arvoreta		6			INPA	38880	Arvoreta de 6m de altura no igapó. Frutos verdes.	45058	fruto	inpa;sl	INPA00038880	Loureiro			Loureiro, A.A.	Brasil	AMAZONAS	Autazes	Rosa Branca
290	Ocotea	longifolia	Gurgel-Silva, E.	21	11	2011		-59.472513	-1.910164	21	11	2010						Lauraceae	Googleearth-maps	Floresta de platô		arvoreta	5.9	6			EAFM		Coleta de material estérial do projeto de doutorado do professor Aldenir.; Arvoreta; 6 m; CAP 16 cm; folhas jovens com face abaxial pratiada; nervuras de cor amarelada e ramos sulcados.; Platô. ; HA			sl		Gurgel			Gurgel, E.S.C.	Brasil	AMAZONAS	Presidente Figueiredo	Estrada Da Uhe De Balbina
11662	Ocotea	longifolia	van der Werff	15				-44.922625	-3.295904	15	12	1937						Lauraceae	Googleearth-maps	Floresta de terra firme	Terra firma, low land, high forest.	arbusto		20			MO;NY		Shrub 20 ft. high, 3 inches in dia.			gbif;mo;ny;sl	1505046|918537	Fróes			Fróes, R. de L.	Brasil	MARANHÃO	Viana	Rio Pindare
INPA1537	Ocotea	longifolia	Rohwer, J.G.			1987		-60.0962609	-2.8743255	6	5	1955					NY nyherbarium 01202710	Lauraceae		Floresta de terra firme		arbusto		3			INPA;NY	1537	Arbusto de 3 m de altura; frutos verdes, parte apical amarela. Terra firme.	29203	fruto	inpa;sl	INPA00001537	Rodrigues			Rodrigues, W.A.	Brasil	AMAZONAS	Manaus	Cachoeira Alta Do Taruma
3133	Ocotea	longifolia	Vicentini, A.		12	1996		-60.0803661	-2.9078962	15	11	1966						Lauraceae		Floresta de terra firme		arvoreta		3			NY		Treelet, 3 m tall; flowers cream, cupule dark green, fruit maturing red. Disturbed forest on terra firme.		flor;fruto	ny	1202853	Prance			Prance, G.T.	Brasil	AMAZONAS	Manaus	Igarapé Do Leão
3611	Ocotea	longifolia	Vicentini, A.		12	1996		-63.1095967	-7.7290707	5	12	1966						Lauraceae		Floresta de terra firme		arvoreta		5			NY		Treelet, 5 m tall. Forest on terra firme.			ny	1202850	Prance			Prance, G.T.	Brasil	AMAZONAS	Humaitá	Br319
4363	Ocotea	glomerata	Rohwer, J.G.	13	11	1986		-61.694698	3.733195	13	2	1967					NY nyherbarium 01202648	Lauraceae		Floresta de terra firme		árvore	15	18			INPA;MO;NY	19998	Tree, 18 m x 15 cm diameter. Cupule dark green, young fruit pale green. Forest on terra firme.	29540	fruto	gbif;inpa;mo;sl	1445929|INPA00019998	Prance			Prance, G.T.	Brasil	RORAIMA	Amajari	Serra Tepequem
7195	Ocotea	longifolia	Rohwer, J.G.			1986		-60.025	-3.1019	6	9	1968					Duplicate sheet of	Lauraceae		Floresta de terra firme	Forest on terra firme.	arbusto		2			NY		Shruv, 2 m tall; fruit green.		fruto	ny	1202670|1202671	Prance			Prance, G.T.	Brasil	AMAZONAS	Manaus	Campus Do Inpa
13856	Ocotea	longifolia	Rohwer, J.G.			1985		-59.918418	-3.003764	1	7	1971					Duplicate sheet of	Lauraceae		Floresta de terra firme	Forest on terra firme.	arvoreta		2			NY		Treelet 2m tall. Cupule dark green, fruit pale green.		fruto	ny	1202672|1202673	Prance			Prance, G.T.	Brasil	AMAZONAS	Manaus	Reserva Florestal Adolpho Ducke
19730	Ocotea	longifolia	Rohwer, J.G.			1986		-58.95	-3.4	25	8	1973						Lauraceae		Floresta de terra firme		árvore		10			INPA;NY	43214	Tree 10m tall. Flowers cream. Fruit ( in cups ) green. Terra firme; high forest near black water.	45061	flor;fruto	ny;inpa;sl	INPA00043214	Berg			Berg, C.C.	Brasil	AMAZONAS	Autazes	Lago Do Cobra
20148	Ocotea	longifolia	Vicentini, A.	1	1	1996		-61.2977457	-4.7243162	5	1	1974						Lauraceae		Floresta de terra firme		arvoreta					INPA;NY	44070	Treelet 3m tall. Buds and flowers yellow. Low forest on terra firme.	45060	botões;flor	inpa;sl;n;y	INPA00044070	Steward			Steward, W.C.	Brasil	AMAZONAS	Manicoré	Br319 Manaus-porto Velho
P20802	Ocotea	longifolia	Vicentini, A.	21	1	1996		-61.095947	-4.4899751	21	3	1974						Lauraceae		Floresta de terra firme		arvoreta		4			INPA;MO	44779	Treelet 4m tall. Fruit green. Forest on terra firme.	45059	fruto	gbif;inpa;mo;ny;sl	1202734|1505128|3141242|INPA00044779	Campbell			Campbell, D.G.	Brasil	AMAZONAS	Borba	Br319 Manaus-porto Velho
194	Ocotea	longifolia	Rohwer, J.G.	24		1986		-59.4592	-10.1669	24	6	1974					urn:catalog:JBRJ:RB:132495	Lauraceae	Linha-4218	Floresta de terra firme	Mata de terra firme.	árvore	1	12			NY;RB		Árvore de 12 m. de altra e 1 m. de circunferencia. (Amost. de madeira). árvore de 12m de alt., e 1m de circunferencia árvore de 12m de alt., e 1m de circunferência			gbif;ny;sl	132495|918538	Cordeiro			Cordeiro, M. dos R.	Brasil	MATO GROSSO	Aripuanã	Humboldt Center
